mean,regionname,state
52648.1914062,Kinloch,MO
59285.5429688,Town of Germantown,NY
544808.125,The Village of Indian Hill,OH
154646.1875,Shalimar,FL
257698.796875,Santa Maria,CA
272158.1875,Town of Sandwich,MA
235138.546875,Chamblee,GA
142058.234375,Roy,UT
142754.625,Upper Frankford,PA
217025.296875,Harleysville,PA
248008.4375,Sykesville,MD
64669.8789062,Paul,ID
29318.0722656,Westworth Village,TX
104827.3125,Bremen,OH
44068.6757812,Newcastle,OK
196516.875,Southport,NC
38299.5976562,Gilboa,NY
157365.46875,North Miami,FL
339371.875,North Bay Village,FL
412744.09375,Hilton Head Island,SC
41443.7734375,Newfield,NY
176957.4375,Black Mountain,NC
192502.40625,Granite Falls,WA
68595.1796875,Town of Nunda,NY
174689.953125,Gloucester Point,VA
84659.8359375,Perry,IA
64352.2070312,Kittanning Township,PA
209229.71875,Cromwell,CT
164564.25,Nazareth,PA
294723.28125,Chelmsford,MA
271099.96875,Warrington,PA
109005.625,Enon,OH
173466.265625,Naugatuck,CT
142177.109375,Glenville,NY
146229.71875,Holland,OH
158904.421875,Farmington,MI
137282.734375,Stoutsville,OH
285482.71875,Levittown,NY
278417.65625,Gig Harbor,WA
65112.8515625,Jennings,MO
329832.21875,Purcellville,VA
612630.875,Siesta Key,FL
235391.5625,Coral Terrace,FL
86699.1953125,Canton,OH
229200.40625,Ocean Township,NJ
189560.640625,West Caln Township,PA
141714.859375,Cave Junction,OR
132328.921875,College Station,TX
100484.742188,Conway,PA
228859.4375,East HillMeridian,WA
121376.304688,Yerington,NV
58553.0117188,Washington Township,PA
87218.875,Fairchance,PA
28912.8515625,Jayess,MS
347730.0625,Atascadero,CA
211977.109375,Golden Valley,MN
176988.75,Colton,CA
63910.0390625,Dana,IN
71709.640625,Rochester Township,PA
299522.4375,West Linn,OR
360851.71875,Seaford,NY
240879.515625,Woodland,CA
193634.9375,Franklin,WI
84235.34375,Nolanville,TX
703197.5625,La Honda,CA
167659.84375,East Windsor,CT
48516.8671875,Emmaus,PA
327058.28125,Marvin,NC
217436.140625,Leverett,MA
72639.7578125,Homer,AK
215701.203125,Addison,IL
358062.625,Oceanside,NY
